fNAME,lNAME,Age,gender,country,residence,entryEXAM,prevEducation,studyHOURS,Python,DB
Christina,Binger,44,FEMALE,Norway,Private,72,Masters,158,59.0,55.0
Alex,Walekhwa,60,MALE,Kenya,Private,79,Diploma,150,60.0,75.0
Philip,Leo,25,MALE,Uganda,Sognsvann,55,High School,130,74.0,50.0
Shoni,Hlongwane,22,FEMALE,South Africa,Sognsvann,40,High School,120,75.85333333333334,44.0
Maria,Kedibone,23,FEMALE,South Africa,Sognsvann,65,High School,122,91.0,80.0
Hannah,Hansen,25,FEMALE,Norway,BI residence,66,High School,130,88.0,59.0
Ole,Johansen,27,MALE,Norway,BI residence,90,Bachelor,156,80.0,91.0
Lars,Olsen,29,MALE,Norway,BI residence,89,Bachelor,160,85.0,60.0
Bjørn,Larsen,31,MALE,Norway,BI residence,88,Bachelor,156,80.0,89.0
Sofie,Jensen,33,FEMALE,Denmark,BI residence,85,Bachelor,160,83.0,90.0
Emma,de Vries,34,FEMALE,Netherlands,BI residence,65,Bachelor,156,79.0,58.0
Solveig,Eliassen,36,FEMALE,Norway,Private,70,Diploma,156,80.0,55.0
Odd,Knudsen,38,MALE,Norway,Private,91,Diploma,156,85.0,99.0
Grethe,Myklebust,40,FEMALE,Norway,Private,77,Diploma,144,70.0,76.0
Marco,Rossi,42,MALE,Italy,Private,80,Bachelor,152,75.0,77.0
Ingrid,Eide,43,FEMALE,Norway,Private,81,Bachelor,156,80.0,82.0
Hanna,Andresen,45,FEMALE,Norway,Private,85,Bachelor,156,87.0,82.0
Jorunn,Eliassen,47,FEMALE,Norway,Private,86,Bachelor,156,80.0,78.0
Sebastian,Kristiansen,48,MALE,Norway,Private,75,Bachelor,148,76.0,73.0
Camilla,Mikkelsen,50,FEMALE,Norway,Private,95,Masters,160,84.0,90.0
Prof,Birkeland,22,MALE,Norway,BI residence,45,High School,116,33.0,30.0
Hanna,Isaksen,24,FEMALE,Norway,BI residence,50,High School,114,30.0,50.0
Kristine,Berg,26,FEMALE,Norway,BI residence,55,High School,140,61.0,56.0
Carmen,Rodríguez,28,FEMALE,Spain,BI residence,78,Bachelor,156,80.0,55.0
Odd,Ahmed,30,MALE,Norway,BI residence,82,Bachelor,156,82.0,65.0
Gunnar,Brekke,32,MALE,Norway,BI residence,81,Bachelor,158,85.0,83.0
Gerd,Bakken,35,FEMALE,Norway,BI residence,92,Masters,160,87.0,88.0
Aisha,Nakaweesi,37,FEMALE,Uganda,Private,55,Diploma,142,66.0,58.0
Kato,Muwanguzi,39,MALE,Uganda,Private,80,Bachelor,156,81.0,69.0
Nansubuga,Nakalema,41,FEMALE,Uganda,Private,86,Bachelor,154,81.0,91.0
Joakim,Edvardsen,44,MALE,Norway,Private,78,Diploma,152,80.0,79.0
Don,Pettersen,46,MALE,Norway,Private,76,Diploma,156,85.0,45.0
Perry,Rønning,71,FEMALE,Norway,Private,30,Doctorate,120,31.0,42.0
